                                                  
Mon Aug 27 19:31:35 2018 | Game starting...
Mon Aug 27 19:31:35 2018 | Loading variables...
                                                  
Mon Aug 27 19:33:09 2018 | Game starting...
Mon Aug 27 19:33:09 2018 | Loading variables...
                                                  
Mon Aug 27 19:34:05 2018 | Game starting...
Mon Aug 27 19:34:05 2018 | Loading variables...
                                                  
Mon Aug 27 19:36:18 2018 | Game starting...
Mon Aug 27 19:36:18 2018 | Loading variables...
Mon Aug 27 19:36:18 2018 | Loading pathways...
                                                  
Mon Aug 27 19:38:52 2018 | Game starting...
Mon Aug 27 19:38:52 2018 | Loading variables:
Mon Aug 27 19:38:52 2018 | >Loading pathways...
                                                  
Mon Aug 27 19:39:42 2018 | Game starting...
Mon Aug 27 19:39:42 2018 | Loading variables:
Mon Aug 27 19:39:42 2018 | >Loading pathways...
Mon Aug 27 19:39:42 2018 | 1
                                                  
Mon Aug 27 20:01:57 2018 | Game starting...
Mon Aug 27 20:01:57 2018 | Loading variables:
Mon Aug 27 20:01:57 2018 | >Loading pathways...
Mon Aug 27 20:01:57 2018 | 1
                                                  
Mon Aug 27 20:04:25 2018 | Game starting...
Mon Aug 27 20:04:25 2018 | Loading variables:
Mon Aug 27 20:04:25 2018 | >Loading pathways...
Mon Aug 27 20:04:25 2018 | 1
Mon Aug 27 20:04:25 2018 | 8
Mon Aug 27 20:04:25 2018 | 7
Mon Aug 27 20:04:25 2018 | 6
Mon Aug 27 20:04:25 2018 | 5
Mon Aug 27 20:04:25 2018 | 4
Mon Aug 27 20:04:25 2018 | 3
Mon Aug 27 20:04:25 2018 | 2
Mon Aug 27 20:04:25 2018 | 1
Mon Aug 27 20:04:25 2018 | 0
Mon Aug 27 20:04:25 2018 | 18446744073709551615
Mon Aug 27 20:04:25 2018 | 18446744073709551614
Mon Aug 27 20:04:25 2018 | 18446744073709551613
Mon Aug 27 20:04:25 2018 | 18446744073709551612
Mon Aug 27 20:04:25 2018 | 18446744073709551611
Mon Aug 27 20:04:25 2018 | 18446744073709551610
Mon Aug 27 20:04:25 2018 | 18446744073709551609
Mon Aug 27 20:04:25 2018 | 18446744073709551608
Mon Aug 27 20:04:25 2018 | 18446744073709551607
Mon Aug 27 20:04:25 2018 | 18446744073709551606
Mon Aug 27 20:04:25 2018 | 18446744073709551605
Mon Aug 27 20:04:25 2018 | 18446744073709551604
Mon Aug 27 20:04:25 2018 | 18446744073709551603
Mon Aug 27 20:04:25 2018 | 18446744073709551602
Mon Aug 27 20:04:25 2018 | 18446744073709551601
Mon Aug 27 20:04:25 2018 | 18446744073709551600
Mon Aug 27 20:04:25 2018 | 18446744073709551599
Mon Aug 27 20:04:25 2018 | 18446744073709551598
Mon Aug 27 20:04:25 2018 | 18446744073709551597
Mon Aug 27 20:04:25 2018 | 18446744073709551596
Mon Aug 27 20:04:25 2018 | 18446744073709551595
Mon Aug 27 20:04:25 2018 | 18446744073709551594
Mon Aug 27 20:04:25 2018 | 18446744073709551593
Mon Aug 27 20:04:25 2018 | 18446744073709551592
Mon Aug 27 20:04:25 2018 | 18446744073709551591
Mon Aug 27 20:04:25 2018 | 18446744073709551590
Mon Aug 27 20:04:25 2018 | 18446744073709551589
Mon Aug 27 20:04:25 2018 | 18446744073709551588
Mon Aug 27 20:04:25 2018 | 18446744073709551587
Mon Aug 27 20:04:25 2018 | 18446744073709551586
Mon Aug 27 20:04:25 2018 | 18446744073709551585
Mon Aug 27 20:04:25 2018 | 18446744073709551584
Mon Aug 27 20:04:25 2018 | 18446744073709551583
Mon Aug 27 20:04:25 2018 | 18446744073709551582
Mon Aug 27 20:04:25 2018 | 18446744073709551581
Mon Aug 27 20:04:25 2018 | 18446744073709551580
Mon Aug 27 20:04:25 2018 | 18446744073709551579
Mon Aug 27 20:04:25 2018 | 18446744073709551578
Mon Aug 27 20:04:25 2018 | 18446744073709551577
Mon Aug 27 20:04:25 2018 | 18446744073709551576
Mon Aug 27 20:04:25 2018 | 18446744073709551575
Mon Aug 27 20:04:25 2018 | 18446744073709551574
Mon Aug 27 20:04:25 2018 | 18446744073709551573
Mon Aug 27 20:04:25 2018 | 18446744073709551572
Mon Aug 27 20:04:25 2018 | 18446744073709551571
Mon Aug 27 20:04:25 2018 | 18446744073709551570
Mon Aug 27 20:04:25 2018 | 18446744073709551569
Mon Aug 27 20:04:25 2018 | 18446744073709551568
Mon Aug 27 20:04:25 2018 | 18446744073709551567
Mon Aug 27 20:04:25 2018 | 18446744073709551566
Mon Aug 27 20:04:25 2018 | 18446744073709551565
Mon Aug 27 20:04:25 2018 | 18446744073709551564
Mon Aug 27 20:04:25 2018 | 18446744073709551563
